X,P,D0,D20,D30,D45,D65,D90,D120,Ts,Ta,Date,Hour,Minutes
0.000,804,799,387,269,148,109,64,46,37,25,04-09-2019,09,22
0.000,1233,1101,542,387,229,164,95,62,37,25,04-09-2019,09,22
0.020,715,1615,762,393,193,119,63,45,38,25,04-09-2019,09,25
0.020,1295,2246,1140,641,305,176,89,64,38,25,04-09-2019,09,25
0.040,675,1929,945,481,238,153,79,41,41,25,04-09-2019,09,28
0.040,1185,3277,1556,832,437,265,124,61,41,25,04-09-2019,09,28
0.060,746,1233,430,179,78,51,36,22,36,26,04-09-2019,09,31
0.060,1200,1915,666,282,113,71,57,35,36,26,04-09-2019,09,31
0.080,774,720,417,225,116,97,55,39,35,25,04-09-2019,09,33
0.080,1349,2360,637,341,176,139,86,61,35,25,04-09-2019,09,33
0.100,656,1868,916,456,194,114,56,41,30,25,04-09-2019,09,35
0.100,1229,2367,1520,771,268,142,73,58,30,25,04-09-2019,09,35
0.120,673,1869,930,491,254,164,92,64,29,25,04-09-2019,09,36
0.120,1197,2405,1559,928,458,269,148,104,29,25,04-09-2019,09,36
0.140,765,1177,605,325,146,93,75,65,37,25,04-09-2019,09,38
0.140,1307,2615,1004,562,270,159,124,102,37,25,04-09-2019,09,38
0.160,1331,1713,955,556,265,134,76,76,37,25,04-09-2019,09,40
0.160,724,1267,750,424,185,92,62,58,37,25,04-09-2019,09,40
0.180,710,1211,761,397,158,64,44,31,37,25,04-09-2019,09,41
0.180,1329,1741,995,552,221,85,46,37,37,25,04-09-2019,09,41
0.200,767,1041,585,306,142,92,37,32,37,25,04-09-2019,09,42
0.200,1346,2706,1105,536,156,81,47,44,37,25,04-09-2019,09,42
0.220,757,1018,604,287,144,137,76,51,38,26,04-09-2019,09,43
0.220,1392,1474,926,389,188,169,115,68,38,26,04-09-2019,09,43
0.240,800,1026,631,365,213,123,68,44,37,26,04-09-2019,09,44
0.240,1325,1255,763,454,256,163,89,61,37,26,04-09-2019,09,44
0.260,828,905,487,302,146,77,50,45,36,26,04-09-2019,09,45
0.260,1423,2093,976,491,192,110,65,54,36,26,04-09-2019,09,45
0.280,765,1226,381,211,117,95,61,44,36,26,04-09-2019,09,47
0.280,1347,1436,708,375,209,165,106,79,36,26,04-09-2019,09,47
0.300,762,1445,554,271,123,88,55,41,34,26,04-09-2019,09,48
0.300,1307,1789,837,404,190,154,84,64,34,26,04-09-2019,09,48
0.320,755,940,503,300,131,81,49,36,35,26,04-09-2019,09,49
0.320,1333,1626,786,439,204,125,72,56,35,26,04-09-2019,09,49
0.340,1190,1849,948,824,168,96,73,66,36,26,04-09-2019,09,49
0.340,764,1669,705,342,103,66,49,45,36,26,04-09-2019,09,49
0.360,791,1068,374,169,79,75,60,42,36,26,04-09-2019,09,50
0.360,1282,1422,560,291,130,110,89,65,36,26,04-09-2019,09,50
0.380,733,1879,1000,575,293,182,90,53,36,26,04-09-2019,09,51
0.380,1257,3277,1558,981,560,330,157,89,36,26,04-09-2019,09,51
0.400,717,2264,871,424,194,131,80,63,35,26,04-09-2019,09,53
0.400,1221,2355,1353,631,248,153,109,92,35,26,04-09-2019,09,53
0.420,674,1830,1040,532,255,150,82,58,37,26,04-09-2019,09,56
0.420,1145,3277,1751,834,361,192,104,79,37,26,04-09-2019,09,56
0.440,715,1556,736,391,167,131,96,79,34,26,04-09-2019,09,58
0.440,1286,2287,1172,598,296,211,162,135,34,26,04-09-2019,09,58
0.460,750,1444,721,361,198,147,104,84,35,26,04-09-2019,09,59
0.460,1300,2526,1134,623,345,258,187,152,35,26,04-09-2019,09,59
0.480,692,1495,751,363,172,108,76,61,34,26,04-09-2019,10,01
0.480,1198,2293,1177,607,270,170,120,101,34,26,04-09-2019,10,01
0.500,673,1688,808,438,209,146,98,74,33,25,04-09-2019,10,02
0.500,1245,2458,1184,656,316,228,163,130,33,25,04-09-2019,10,02
0.520,699,1730,913,449,234,172,116,87,34,25,04-09-2019,10,04
0.520,1196,3277,1285,641,360,278,194,152,34,25,04-09-2019,10,04
0.540,702,1247,661,391,225,159,96,70,35,25,04-09-2019,10,05
0.540,1285,1922,989,615,362,261,168,127,35,25,04-09-2019,10,05
0.560,691,1515,752,390,198,140,91,68,34,25,04-09-2019,10,06
0.560,1238,3277,1103,588,314,225,155,119,34,25,04-09-2019,10,06
0.580,730,1921,883,451,238,164,103,76,34,26,04-09-2019,10,54
0.580,1285,2334,1211,727,400,280,177,134,34,26,04-09-2019,10,54
0.600,705,1904,869,522,242,165,95,72,34,26,04-09-2019,10,55
0.600,1257,2332,1531,879,451,290,165,127,34,26,04-09-2019,10,55
0.620,734,1767,828,498,266,187,114,85,34,26,04-09-2019,10,56
0.620,1228,3277,1459,892,489,334,206,152,34,26,04-09-2019,10,56
0.640,712,1306,706,500,274,193,115,80,34,26,04-09-2019,10,57
0.640,1234,3277,1421,867,482,344,205,142,34,26,04-09-2019,10,57
0.660,712,1889,968,632,310,221,136,101,35,26,04-09-2019,10,57
0.660,1263,2462,1473,889,530,366,235,175,35,26,04-09-2019,10,57
0.680,696,1625,710,370,214,153,100,78,34,26,04-09-2019,10,58
0.680,1148,2317,1316,696,387,287,192,146,34,26,04-09-2019,10,58
0.700,680,1757,877,481,260,186,125,92,35,26,04-09-2019,10,59
0.700,1194,2471,1351,758,442,317,214,166,35,26,04-09-2019,10,59
0.720,681,1857,885,436,222,142,92,74,34,26,04-09-2019,10,59
0.720,1207,2366,1450,757,413,235,161,130,34,26,04-09-2019,10,59
0.740,696,2084,804,420,206,140,87,67,34,26,04-09-2019,11,00
0.740,1140,3091,1358,710,353,241,155,120,34,26,04-09-2019,11,00
0.760,726,1853,858,370,200,147,96,71,34,26,04-09-2019,11,01
0.760,1202,2845,1410,612,334,250,169,129,34,26,04-09-2019,11,01
0.780,677,1650,822,466,235,154,93,70,34,26,04-09-2019,11,02
0.780,1233,3277,1386,801,402,265,156,131,34,26,04-09-2019,11,02
0.800,717,1843,1058,586,314,222,135,102,35,26,04-09-2019,11,03
0.800,1176,2362,1667,971,510,358,231,181,35,26,04-09-2019,11,03
0.820,1196,2352,2584,910,468,334,221,171,34,26,04-09-2019,11,04
0.820,667,2282,1147,607,292,207,130,95,34,26,04-09-2019,11,04
0.840,684,2213,839,507,263,198,119,91,35,26,04-09-2019,11,05
0.840,1159,3277,1428,809,416,309,199,154,35,26,04-09-2019,11,05
0.860,660,1734,726,385,223,156,98,77,35,26,04-09-2019,11,06
0.860,1180,2391,1185,636,365,253,164,129,35,26,04-09-2019,11,06
0.880,725,1644,854,422,217,145,88,68,36,26,04-09-2019,11,07
0.880,1239,2668,1332,710,353,234,142,108,36,26,04-09-2019,11,07
0.900,692,2662,1045,518,271,191,117,82,37,26,04-09-2019,11,07
0.900,1189,2361,1413,753,414,298,186,135,37,26,04-09-2019,11,07
0.920,693,2804,969,490,237,164,100,78,36,27,04-09-2019,11,08
0.920,1231,2343,1470,884,397,277,170,121,36,27,04-09-2019,11,08
0.940,714,2475,885,479,240,167,105,84,36,27,04-09-2019,11,09
0.940,1238,2390,1408,751,382,259,177,124,36,27,04-09-2019,11,09
0.960,717,1865,848,436,241,171,107,75,36,27,04-09-2019,11,10
0.960,1226,3277,1423,750,402,301,190,126,36,27,04-09-2019,11,10
0.980,699,2998,1164,467,244,178,115,82,36,27,04-09-2019,11,11
0.980,1204,2410,1566,710,394,288,191,138,36,27,04-09-2019,11,11
1.000,733,1432,665,311,174,131,88,68,31,27,04-09-2019,11,12
1.000,1279,2065,1159,519,300,237,161,121,31,27,04-09-2019,11,12
1.020,746,1875,565,332,215,163,108,80,35,27,04-09-2019,11,12
1.020,1243,2327,1015,602,396,302,204,153,35,27,04-09-2019,11,12
1.040,711,2875,640,422,278,202,121,96,36,27,04-09-2019,11,13
1.040,1169,2334,1193,768,533,402,243,185,36,27,04-09-2019,11,13
1.060,719,1218,592,381,261,198,117,90,36,27,04-09-2019,11,14
1.060,1258,1776,921,628,433,331,209,157,36,27,04-09-2019,11,14
1.080,725,1669,698,440,269,192,120,117,37,27,04-09-2019,11,14
1.080,1202,2342,1214,722,470,349,216,159,37,27,04-09-2019,11,14
1.100,691,1836,544,277,187,151,97,75,39,28,04-09-2019,11,15
1.100,1239,2649,968,528,339,269,180,139,39,28,04-09-2019,11,15
1.120,673,1877,583,318,212,163,96,67,39,28,04-09-2019,11,16
1.120,1236,2540,1151,609,381,291,179,127,39,28,04-09-2019,11,16
1.140,718,1739,562,315,206,153,102,79,39,28,04-09-2019,11,17
1.140,1267,3277,1050,566,374,283,193,146,39,28,04-09-2019,11,17
1.160,735,1617,737,363,214,155,95,66,39,28,04-09-2019,11,18
1.160,1264,1937,1207,674,375,275,173,123,39,28,04-09-2019,11,18
1.180,739,1975,732,383,241,180,119,85,39,28,04-09-2019,11,18
1.180,1273,3277,1122,616,382,290,200,136,39,28,04-09-2019,11,18
1.200,686,1545,792,374,225,164,101,72,37,28,04-09-2019,11,19
1.200,1290,2336,1239,654,398,292,184,136,37,28,04-09-2019,11,19
1.217,664,2342,919,456,227,179,87,63,32,28,04-09-2019,11,22
1.217,1127,2355,1266,652,346,234,127,96,32,28,04-09-2019,11,22
